spanish,english
sentados,sitting
en,in
corro,circle
merendábamos,"we were having a snack"
besos,kisses
y,and
porros,joints
las,the
horas,hours
pasaban,passed
de,by
prisa,hurry
entre,between
el,the
humo,smoke
la,the
risa,laughter
te,you
morías,"were dying"
por,for
"volver con la frente marchita", "return with a withered brow"
cantaba,sang
gardel,gardel
citas,quotes
de,of
borges,borges
evita,evita
bailaba,danced
con,with
freud,freud
ya,already
llovió,it rained
desde,since
aquel,that
chaparrón,downpour
hasta,until
hoy,today
iba,"i went"
cada,every
domingo,sunday
a,to
tu,your
puesto,stall
del,at the
rastro,rastro
comprarte,"buy you"
carricoches,"small carriages"
miga,crumb
pan,bread
soldaditos,"tin soldiers"
lata,tin
con,with
agüita,water
mar,sea
andaluz,andalusian
quise,"i wanted"
yo,i
enamorarte,"to make you fall in love"
pero,but
tú,you
no,not
querías,wanted
más,more
amor,love
que,than
río,de la plata
de la plata,"river"
duró,"it lasted"
tormenta,storm
entrados,entered
los,the
años,years
ochenta,eighties
luego,then
sol,sun
fue,was
secando,drying
ropa,clothes
vieja,old
europa,europe
hay,"there is"
nostalgia,nostalgia
peor,worse
añorar,longing for
lo,what
nunca,never
jamás,ever
sucedió,happened
mándame,"send me"
una,a
postal,postcard
san telmo,san telmo
adiós,goodbye
¡cuídate!,take care!
sonó,sounded
tú,you
yo,i
silbato,whistle
tren,train
monigotes,puppets
caballitos,"little horses"
aquellas,those
banderas,flags
patria,homeland
primavera,spring
a,to
decirme,"tell me"
existe,exists
olvido,oblivion
esta,this
noche,night
han,have
venido,come
sentaba,"looked good"
tan,so
bien,well
esa,that
boina,beret
calada,tilted
al,like
estilo,style
el che,el che
buenos aires,buenos aires
es,is
como,like
contabas,you told
fui,i went
pasear,walk
al,upon
llegar,arriving
plaza de mayo,plaza de mayo
me,i
dio,"felt like"
por,to
llorar,cry
puse,started
gritar,shout
¿dónde,where
estás?,are you?
corazones,hearts
sombreritos,"little hats"
ya,already
nadie,no one
escribe,writes
diciendo,saying
"no consigo olvidarte", "i can't forget you"
ojalá,i wish
estuvieras,you were
conmigo,with me
carricoches,"small carriages"
soldaditos,"tin soldiers"
